"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1901987","BP","GO:1901987","regulation of cell cycle phase transition","33/107","453/18903",8.84798761783925e-28,3.59582216788987e-24,1.62244151897642e-24,"6790/9212/580/332/672/675/701/6347/891/894/8556/991/993/995/8318/990/8317/113130/55143/983/1029/1030/1111/11200/1869/2146/2177/407006/407007/5347/5888/28984/7015",33
"GO:0044772","BP","GO:0044772","mitotic cell cycle phase transition","33/107","473/18903",3.58642700070089e-27,7.2876196654242e-24,3.28818728169523e-24,"5243/6790/9212/580/332/672/701/6347/890/891/894/898/8556/991/993/995/990/8317/113130/55143/983/1029/1030/1111/11200/1869/2146/407006/407007/5347/28984/6502/7015",33
"GO:1901990","BP","GO:1901990","regulation of mitotic cell cycle phase transition","29/107","354/18903",8.2760848707278e-26,1.12113363048793e-22,5.0585753841431e-23,"6790/9212/580/332/672/701/6347/891/894/8556/991/993/995/990/8317/113130/55143/983/1029/1030/1111/11200/1869/2146/407006/407007/5347/28984/7015",29
"GO:1901988","BP","GO:1901988","negative regulation of cell cycle phase transition","22/107","272/18903",1.66062398147381e-19,1.68719396517739e-16,7.61264993612469e-17,"9212/580/332/672/675/701/6347/891/991/8318/990/55143/983/1030/1111/11200/1869/2146/2177/5347/5888/28984",22
"GO:0045787","BP","GO:0045787","positive regulation of cell cycle","24/107","362/18903",3.2693184950345e-19,2.65730207276405e-16,1.19897954070529e-16,"6790/9212/332/675/891/894/8556/993/995/990/8317/113130/55143/983/1111/11200/1950/2146/2263/3553/407006/407007/28984/7015",24
"GO:0090068","BP","GO:0090068","positive regulation of cell cycle process","21/107","260/18903",1.2396154797678e-18,8.39632884962724e-16,3.78843888729037e-16,"6790/9212/332/891/894/8556/993/995/990/8317/113130/55143/983/11200/1950/2146/3553/407006/407007/28984/7015",21
"GO:0010948","BP","GO:0010948","negative regulation of cell cycle process","22/107","318/18903",4.80897401284539e-18,2.79195291260052e-15,1.25973424516942e-15,"9212/580/332/672/675/701/6347/891/991/8318/990/55143/983/1030/1111/11200/1869/2146/2177/5347/5888/28984",22
"GO:0000075","BP","GO:0000075","cell cycle checkpoint signaling","18/107","186/18903",1.75923471085714e-17,8.93691233115428e-15,4.03235113988571e-15,"9212/580/332/672/675/701/891/991/8318/990/55143/983/1111/11200/1869/2177/5347/5888",18
"GO:0045786","BP","GO:0045786","negative regulation of cell cycle","23/107","405/18903",6.04850074534347e-17,2.73123411434176e-14,1.232337812677e-14,"9212/580/332/672/675/701/6347/891/991/8318/990/55143/983/1029/1030/1111/11200/1869/2146/2177/5347/5888/28984",23
"GO:0000086","BP","GO:0000086","G2/M transition of mitotic cell cycle","16/107","142/18903",1.05094087275813e-16,4.27102370688904e-14,1.92709368457333e-14,"5243/6790/9212/580/672/890/891/993/995/990/8317/983/1111/11200/5347/6502",16
"GO:0044839","BP","GO:0044839","cell cycle G2/M phase transition","16/107","157/18903",5.3372672099909e-16,1.97187763103664e-13,8.89714782756379e-14,"5243/6790/9212/580/672/890/891/993/995/990/8317/983/1111/11200/5347/6502",16
"GO:1901991","BP","GO:1901991","negative regulation of mitotic cell cycle phase transition","17/107","194/18903",7.92656921863209e-16,2.68446477537673e-13,1.21123540165413e-13,"9212/580/332/672/701/6347/891/991/990/55143/983/1030/1111/11200/2146/5347/28984",17
"GO:0045930","BP","GO:0045930","negative regulation of mitotic cell cycle","18/107","246/18903",2.54512960568771e-15,7.95646670578065e-13,3.5899722859174e-13,"9212/580/332/672/701/6347/891/991/990/55143/983/1030/1111/11200/2146/2177/5347/28984",18
"GO:0007088","BP","GO:0007088","regulation of mitotic nuclear division","14/107","118/18903",4.62605579554233e-15,1.34287791093457e-12,6.05908962092838e-13,"6790/9212/332/701/891/991/995/55143/1111/1950/3553/4288/5347/28984",14
"GO:1901989","BP","GO:1901989","positive regulation of cell cycle phase transition","14/107","122/18903",7.44314289394359e-15,2.01659551473245e-12,9.09891573421034e-13,"891/894/993/995/990/8317/113130/983/11200/2146/407006/407007/28984/7015",14
"GO:0000280","BP","GO:0000280","nuclear division","22/107","481/18903",2.73238440210463e-14,6.94025638134575e-12,3.13145633451728e-12,"6790/9212/332/675/701/891/898/8556/991/995/990/113130/55143/1111/11200/1950/2177/3553/4288/5347/5888/28984",22
"GO:0007093","BP","GO:0007093","mitotic cell cycle checkpoint signaling","14/107","141/18903",5.7618616950561e-14,1.37742387815929e-11,6.21496165497692e-12,"9212/580/332/672/701/891/991/990/55143/983/1111/11200/2177/5347",14
"GO:0051783","BP","GO:0051783","regulation of nuclear division","14/107","145/18903",8.52850806905917e-14,1.92554759959203e-11,8.68810588087782e-12,"6790/9212/332/701/891/991/995/55143/1111/1950/3553/4288/5347/28984",14
"GO:1903706","BP","GO:1903706","regulation of hemopoiesis","20/107","413/18903",1.62913531520071e-13,3.46293984063624e-11,1.56248477061447e-11,"695/84433/939/1440/1493/2177/2353/50943/2623/2624/3458/3559/3575/3718/407006/407007/4286/4792/5295/7048",20
"GO:0007159","BP","GO:0007159","leukocyte cell-cell adhesion","20/107","414/18903",1.70420267747847e-13,3.46293984063624e-11,1.56248477061447e-11,"84433/857/6347/939/960/1493/6387/50943/3458/3553/3559/3569/3575/3718/407006/407007/5175/7037/7048/7070",20
"GO:1903131","BP","GO:1903131","mononuclear cell differentiation","21/107","473/18903",2.02686009871315e-13,3.92245687674774e-11,1.7698196952172e-11,"695/84433/930/939/1493/2146/2177/2353/50943/2623/3458/3553/3559/3569/3575/3718/3725/5079/5295/5468/7048",21
